is_doh,bytes_rev,bytes,packets,packets_rev,packets_sum,bytes_ration,num_pkts_ration,time,av_pkt_size,av_pkt_size_rev,var_pkt_size,var_pkt_size_rev,median_pkt_size,median_pkt_size_rev,mindelay,avgdelay,maxdelay,bursts,fazzel,time_leap_ration,autocorr,stSum,ndSum,rdSum
True,480,80,1,6,7,0.16666666666666666,0.16666666666666666,32232.79,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0
True,7219,1709,14,15,29,0.2367363900817288,0.9333333333333332,174.07600000000005,122.07142857142857,481.26666666666665,29573.805555555562,300159.6900000001,78.0,533.0,42.614,80.08013333333334,137.27200000000002,0,0,1.0,0.0,-3,0,-3
True,1036,975,6,4,10,0.9411196911196912,1.5,212.388,162.5,259.0,69432.25,39204.0,327.5,410.0,37.116,51.37866666666667,63.29,0,0,1.0,0.0,0,0,0
True,7586,1582,9,13,22,0.20854205114684946,0.6923076923076923,125.918,175.77777777777774,583.5384615384615,35848.22222222222,236564.1875,433.0,1194.0,32.016000000000005,57.5808,83.624,0,0,1.0,0.0,-1,0,-4
True,7051,1538,14,14,28,0.2181250886399093,1.0,4842.634,109.85714285714286,503.6428571428572,29582.25,306077.29,200.5,523.0,39.436,95.95184615384613,156.032,0,0,1.0,0.0,-2,1,-3
True,1676,1519,8,10,18,0.9063245823389019,0.8,1180.1660000000004,189.875,167.6,40929.1875,126568.5,331.5,147.0,37.14400000000001,676.3111428571427,881.0060000000002,0,0,1.0,0.661338471151485,0,-1,-1
True,7467,1487,8,11,19,0.19914289540645508,0.7272727272727273,97.338,185.875,678.8181818181819,380.25,236390.234375,497.5,1194.0,32.94,43.367777777777775,53.36,0,0,1.0,0.0,-1,0,-3
True,220,302,3,4,7,1.3727272727272728,0.75,524.7,100.66666666666669,55.0,0.0,0.0,73.0,0.0,461.818,461.818,461.818,0,0,1.0,0.0,0,0,0
True,3392,2199,16,16,32,0.6482900943396226,1.0,1721.0700000000006,137.4375,212.0,32473.061224489786,49760.2,92.0,140.0,32.606,73.752625,105.65,0,0,1.0,0.3501966844928381,1,2,-4
True,992,867,5,4,9,0.873991935483871,1.25,176.57999999999996,173.4,248.0,69432.25,39204.0,327.5,410.0,37.19,44.20466666666667,51.89,0,0,1.0,0.0,0,0,0
True,8083,3429,24,24,48,0.4242236793269826,1.0,7844.656000000001,142.875,336.7916666666667,14096.330578512398,218262.5969387756,196.0,218.5,15.444,1190.0171666666665,7811.596,0,0,1.0,0.6181276366874919,-2,-1,0
True,992,867,5,4,9,0.873991935483871,1.25,244.826,173.4,248.0,69432.25,39204.0,327.5,410.0,36.984,57.73066666666667,72.14,0,0,1.0,0.0,0,0,0
True,212,100,2,5,7,0.4716981132075472,0.4,16665.572,50.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0
True,4982,1341,8,9,17,0.26916900843034924,0.8888888888888888,80.814,167.625,553.5555555555555,37701.55555555556,229071.6,416.0,1300.0,2.126,24.757714285714286,46.476000000000006,0,0,1.0,0.0,0,-1,-1
True,6224,1467,12,12,24,0.2357005141388175,1.0,113.876,122.25,518.6666666666666,35057.1875,296913.33333333326,143.5,1212.0,15.803999999999998,37.26577777777778,67.02600000000001,0,0,1.0,0.0,-1,0,-1
True,9572,4195,36,36,72,0.4382574174676139,1.0,188.726,116.52777777777777,265.8888888888889,14330.595155709343,293825.6213017752,90.0,259.0,15.198,50.1783448275862,104.638,0,0,1.0,0.0,2,-1,1
True,1905,871,8,11,19,0.4572178477690289,0.7272727272727273,130.36,108.875,173.1818181818182,5587.6875,37510.984375,113.5,63.0,1.08,33.71981818181818,62.483999999999995,0,0,1.0,0.5231900028836702,2,-3,-1
True,4692,1341,10,12,22,0.2858056265984655,0.8333333333333334,115.752,134.1,391.0,6061.360000000002,210336.0,200.0,489.0,3.97,41.10699999999999,88.494,0,0,1.0,0.0,-1,0,0
True,992,867,5,4,9,0.873991935483871,1.25,199.29,173.4,248.0,69432.25,39204.0,327.5,410.0,43.1,57.66866666666667,70.384,0,0,1.0,0.0,0,0,0
True,2067,2500,22,11,33,1.209482341557813,2.0,99.922,113.63636363636364,187.9090909090909,5700.25,40674.12244897959,114.5,85.0,0.254,43.75685714285713,84.8,0,0,1.0,0.485296248508603,5,-4,0
True,1957,811,10,10,20,0.4144098109351048,1.0,791.78,81.1,195.7,5000.0,65201.63265306122,39.0,39.0,0.0,191.118,775.082,0,0,1.0,0.9301227442218372,1,-2,-1
True,156,285,3,3,6,1.8269230769230769,1.0,5235.446,95.0,52.0,72.25,0.0,64.5,0.0,5000.014,5000.014,5000.014,0,0,1.0,0.0,0,0,0
True,381,181,3,4,7,0.4750656167979002,0.75,20972.703999999998,60.33333333333334,95.25,0.0,72.25,1.0,64.5,15970.294,18470.345,20970.396,0,0,1.0,0.0,0,0,0
True,7370,1541,9,12,21,0.20909090909090908,0.75,129.738,171.22222222222226,614.1666666666666,33770.88888888888,191543.0612244898,392.0,1220.0,32.576,56.709777777777774,88.39,0,0,1.0,0.0,-1,0,-3
True,6224,1519,13,12,25,0.2440552699228792,1.0833333333333333,120.196,116.84615384615385,518.6666666666666,35057.1875,296913.33333333326,143.5,1212.0,15.802,40.22222222222222,68.66199999999999,0,0,1.0,0.0,-1,0,-1
True,24186,11277,91,129,220,0.4662614735797569,0.7054263565891473,52821.924000000006,123.92307692307692,187.4883720930233,5716.9876543209875,41011.77324263039,198.0,68.0,0.032,3006.468137931035,4497.9940000000015,0,0,1.0,0.4908749722539413,-4,-5,-5
True,4888,1387,12,15,27,0.28375613747954176,0.8,55.31399999999999,115.58333333333331,325.8666666666667,5564.4,271568.25,93.0,304.5,3.004,17.020166666666668,30.658,0,0,1.0,0.0,-2,-1,-2
True,1286,578,5,10,15,0.4494556765163297,0.5,342.346,115.6,128.6,4218.75,28536.888888888887,39.0,39.0,0.122,71.88422222222222,335.27,0,0,1.0,0.10856142646556527,1,-2,1
